answerId,recopilationId,departmentId,collectionId,evidenceId,indicatorIndex,subIndex,categoryId,tiempo,wasRecommended
1,1,1,1,1,7,4,32,2024-01-21,TRUE
2,1,2,2,2,6,19,29,2024-01-21,TRUE
3,1,3,3,3,5,17,19,2024-01-21,TRUE
4,1,4,4,4,4,6,17,2024-01-21,FALSE
5,1,22,5,5,3,13,15,2024-01-21,FALSE
6,1,19,6,6,2,8,5,2024-01-22,TRUE
7,1,20,7,7,1,22,1,2024-01-23,TRUE
8,1,18,8,8,2,4,6,2024-01-24,TRUE
9,1,17,9,9,3,12,13,2024-01-25,TRUE
10,1,16,10,10,4,5,17,2024-01-26,TRUE
11,1,15,11,11,5,16,19,2024-01-27,FALSE
12,1,14,12,12,6,20,21,2024-01-28,FALSE
13,1,13,13,13,7,4,31,2024-01-29,TRUE
14,1,12,14,14,6,19,22,2024-01-30,FALSE
15,1,11,15,15,5,15,20,2024-01-31,TRUE
16,1,10,16,16,4,4,18,2024-02-01,TRUE
17,1,9,17,17,3,11,14,2024-02-02,TRUE
18,1,8,18,18,2,14,7,2024-02-03,TRUE
19,1,7,19,19,1,8,2,2024-02-04,TRUE
20,1,6,20,20,2,11,8,2024-02-05,TRUE
21,1,5,21,21,3,10,15,2024-02-06,TRUE
22,1,1,22,22,4,3,17,2024-02-07,FALSE
23,1,2,23,23,5,14,19,2024-02-08,TRUE
24,1,3,24,24,6,18,23,2024-02-09,TRUE
25,1,4,25,25,7,3,32,2024-02-10,FALSE
26,1,5,26,26,1,6,3,2024-02-11,TRUE
27,1,6,27,27,2,10,9,2024-02-12,FALSE
28,1,7,28,28,3,9,16,2024-02-13,TRUE
29,1,8,29,29,4,2,18,2024-02-14,TRUE
30,1,9,30,30,5,13,20,2024-02-15,TRUE
31,1,10,31,31,6,17,24,2024-02-16,TRUE
32,1,22,32,32,7,1,31,2024-02-17,TRUE
33,1,20,33,33,1,14,4,2024-02-18,TRUE
34,1,19,34,34,2,9,10,2024-01-21,TRUE
35,1,18,35,35,3,9,15,2024-01-22,TRUE
36,1,17,36,36,4,1,17,2024-01-23,TRUE
37,1,16,37,37,5,10,19,2024-01-24,TRUE
38,1,15,38,38,6,16,25,2024-01-25,TRUE
39,1,14,39,39,7,2,31,2024-01-26,TRUE
40,1,13,40,40,2,4,11,2024-01-27,TRUE
41,1,2,41,41,7,4,32,2024-01-28,FALSE
42,1,5,42,42,6,19,29,2024-01-29,FALSE
43,1,7,43,43,5,17,20,2024-01-30,TRUE
44,1,12,44,44,4,6,17,2024-01-31,FALSE
45,1,22,45,45,3,13,15,2024-02-01,TRUE
46,1,21,46,46,2,8,5,2024-02-02,FALSE
47,1,3,47,47,1,22,1,2024-02-03,FALSE
48,1,20,48,48,2,4,6,2024-02-04,FALSE
49,1,1,49,49,3,12,13,2024-02-05,TRUE
50,2,1,50,50,4,5,17,2024-02-06,TRUE
51,2,2,51,51,5,16,19,2024-02-07,TRUE
52,2,1,52,52,6,20,21,2024-02-08,TRUE
53,2,2,53,53,7,4,31,2024-02-09,TRUE
54,2,3,54,54,6,19,22,2024-02-10,FALSE
55,2,4,55,55,5,15,20,2024-02-11,FALSE
56,2,22,56,56,4,4,18,2024-02-12,TRUE
57,2,19,57,57,3,11,14,2024-02-13,TRUE
58,2,20,58,58,2,14,7,2024-02-14,TRUE
59,2,18,59,59,1,8,2,2024-02-15,TRUE
60,2,17,60,60,2,11,8,2024-02-16,TRUE
61,2,16,61,61,7,4,32,2024-02-17,FALSE
62,2,15,62,62,6,19,29,2024-02-18,FALSE
63,2,14,63,63,5,17,19,2024-01-21,TRUE
64,2,13,64,64,4,6,17,2024-01-22,FALSE
65,2,12,65,65,3,13,15,2024-01-23,TRUE
66,2,11,66,66,2,8,5,2024-01-24,TRUE
67,2,10,67,67,1,22,1,2024-01-25,TRUE
68,2,9,68,68,2,4,6,2024-01-26,TRUE
69,2,8,69,69,3,12,13,2024-01-27,TRUE
70,2,7,70,70,4,5,17,2024-01-28,TRUE
71,2,6,71,71,5,16,19,2024-01-29,TRUE
72,2,5,72,72,6,20,21,2024-01-30,FALSE
73,2,1,73,73,7,4,31,2024-01-21,TRUE
74,2,2,74,74,6,19,22,2024-01-22,TRUE
75,2,3,75,75,5,15,20,2024-01-23,FALSE
76,2,4,76,76,4,4,18,2024-01-24,TRUE
77,2,5,77,77,3,11,14,2024-01-25,FALSE
78,2,6,78,78,2,14,7,2024-01-26,TRUE
79,2,7,79,79,1,8,2,2024-01-27,TRUE
80,2,8,80,80,2,11,8,2024-01-28,TRUE
81,2,9,81,81,3,10,15,2024-01-29,TRUE
82,2,10,82,82,4,3,17,2024-01-30,TRUE
83,2,22,83,83,5,14,19,2024-01-31,TRUE
84,2,20,84,84,6,18,23,2024-02-01,TRUE
85,2,19,85,85,7,3,32,2024-02-02,TRUE
86,2,18,86,86,1,6,3,2024-02-03,TRUE
87,2,17,87,87,2,10,9,2024-02-04,TRUE
88,2,16,88,88,3,9,16,2024-02-05,TRUE
89,2,15,89,89,4,2,18,2024-02-06,TRUE
90,2,14,90,90,5,13,20,2024-02-07,TRUE
91,2,13,91,91,6,17,24,2024-02-08,FALSE
92,2,2,92,92,7,1,31,2024-02-09,FALSE
93,2,5,93,93,1,14,4,2024-02-10,TRUE
94,2,7,94,94,2,9,10,2024-02-11,FALSE
95,2,12,95,95,3,9,15,2024-02-12,TRUE
96,2,22,96,96,4,1,17,2024-02-13,FALSE
97,2,21,97,97,5,10,19,2024-02-14,FALSE
98,2,3,98,98,6,16,25,2024-02-15,FALSE
99,2,20,99,99,7,2,31,2024-02-16,TRUE
100,2,1,100,100,2,4,11,2024-02-17,TRUE
