departmentId,name,email
1,Vicerrectorado,vicerectorado@ucab.edu.ve
2,Dirección de Finanzas y Administración,finanzas.admin@ucab.edu.ve
3,Dirección de Servicios Generales,email3@gmail.com
4,Coordinación de Seguridad y Salud laboral,email4@gmail.com
5,Coordinación de Sustentabilidad Ambiental,email5@gmail.com
6,Coordinación de Comunicaciones,email6@gmail.com
7,Dirección de Extensión Social Universitaria,email7@gmail.com
8,CADH,email8@gmail.com
9,Escuela de Ingeniería Civil,email9@gmail.com
10,Escuela de Ingeniería Industrial,email10@gmail.com
11,Escuela de Ingeniería Informática,email11@gmail.com
12,Escuela de Comunicación Social,email12@gmail.com
13,Escuela Admininstración y Contaduría,email13@gmail.com
14,Escuela Relaciones Industriales,email14@gmail.com
15,Escuela de Derecho,email15@gmail.com
16,Escuela de Educación,email16@gmail.com
17,Coordinación de Cultura,email17@gmail.com
18,Coordinación de Internacionalización,email18@gmail.com
19,Dirección de Desarrollo Estudiantil,email19@gmail.com
20,Coordinación General de Recursos Humanos,email20@gmail.com
21,Coordinación General de Tecnología de la Información (CGTI),email21@gmail.com
22,Centro Estudios Regionales,email22@gmail.com
